(2+0002_f000001 "Ils veulent supprimer Heetch.")
(2+0002_f000002 "Donc... Notre sécurité ne vous intéresse pas?")
(2+0002_f000003 "On fait comment sans Heetch?")
(2+0002_f000004 "On fait comment pour rentrer de soirée en tant qu’étudiant quand il n’y a plus de métro?")
(2+0002_f000005 "Sans ce fameux heetch je ne serai plus des vôtres les amis.")
(2+0002_f000006 "Un chameau peut marcher dix heures sans boire, je peux boire dix heures sans marcher et au final c'est toujours Heetch qui me ramène.")
(2+0002_f000007 "Taxi? J'en ai jamais pris.")
(2+0002_f000008 "Avant Heetch j'errais la nuit, ivre et seul, dans les rues à la recherche d'un noctilien ou deux.")
(2+0002_f000009 "Si mon Heetch pose problème à l'état, je suis en état de dire que j'ai un problème.")
(2+0002_f000010 "Je suis étudiant, habitant en banlieue.")
(2+0003_f000001 "Ils veulent supprimer Heetch.")
(2+0003_f000002 "Donc... Notre sécurité ne vous intéresse pas?")
(2+0003_f000003 "On fait comment sans Heetch?")
(2+0003_f000004 "On fait comment pour rentrer de soirée en tant qu’étudiant quand il n’y a plus de métro?")
(2+0003_f000005 "Sans ce fameux heetch je ne serai plus des vôtres les amis.")
(2+0003_f000006 "Un chameau peut marcher dix heures sans boire, je peux boire dix heures sans marcher et au final c'est toujours Heetch qui me ramène.")
(2+0003_f000007 "Taxi? J'en ai jamais pris.")
(2+0003_f000008 "Avant Heetch j'errais la nuit, ivre et seul, dans les rues à la recherche d'un noctilien ou deux.")
(2+0003_f000009 "Si mon Heetch pose problème à l'état, je suis en état de dire que j'ai un problème.")
(2+0003_f000010 "Je suis étudiant, habitant en banlieue.")
(2+0004_f000001 "Ils veulent supprimer Heetch.")
(2+0004_f000002 "Donc... Notre sécurité ne vous intéresse pas?")
(2+0004_f000003 "On fait comment sans Heetch?")
(2+0004_f000004 "On fait comment pour rentrer de soirée en tant qu’étudiant quand il n’y a plus de métro?")
(2+0004_f000005 "Sans ce fameux heetch je ne serai plus des vôtres les amis.")
